T©n Y phôc	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	"Biªn hiÖu bé trang bÞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bÞ)"	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dÞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
ThÊt ThÇn Y	0	100	73	60	15000	0	160	44;15						10	1	1		\image\item\cloth\ÆßÉñÒÂa1.spr	\image\item\cloth\ÆßÉñÒÂa0.spr	Trang phôc ChiÕn ThÇn ThÊt ChiÕn gióp gi¶m s¸t th­¬ng nÕu ®­îc ChiÕn ThÇn hé th©n.	±ê×¼ÄÐÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0																																																																		
Long L©n ¤ Kim Gi¸p	0	100	74	60	15000	0	140	44;15						10	1	2		\image\item\cloth\ÁúÁÛÎÚ½ð¼×a1.spr	\image\item\cloth\ÁúÁÛÎÚ½ð¼×a0.spr	"V¶y rång kÕt hîp ¤ Kim ®óc thµnh ¤ Kim Gi¸p, t¨ng søc m¹nh ThÇn Long."	¿ýÎàÄÐÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0																																																																		
Lôc Oanh Vò Y	0	100	75	60	15000	0	200	44;15						10	2	3		\image\item\cloth\ÂÌÝÓÓðÒÂa1.spr	\image\item\cloth\ÂÌÝÓÓðÒÂa0.spr	"¸o l«ng vô xanh lôc, uyÓn chuyÓn th­ít tha."	ÐÔ¸ÐÅ®ÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0																																																																		
Doanh Vò Th­êng	0	100	76	60	15000	0	175	44;15						10	2	4		\image\item\cloth\Ó¯ÎèÓðÉÑa1.spr	\image\item\cloth\Ó¯ÎèÓðÉÑa0.spr	"¸o l«ng vò nhung tÝm, t«n thªm nÎ ®Ñp n÷ tÝnh."	½¿Ð¡Å®ÉÏÒÂ8¼¶Íâ	Th­îng y		8	0	0		0																																																																		
Gi¸ng Tö Bµo	0	100	77	60	15000	0	160	14;44						10	1	1		\image\item\cloth\ç­×ÏÅÛa1.spr	\image\item\cloth\ç­×ÏÅÛa0.spr	"Lµm tõ l«ng vò ®en tuyÒn, ®iÓm xuyÕn mµu tÝm thÉm, ngù néi gia ch©n khÝ."	±ê×¼ÄÐÉÏÒÂ8¼¶ÄÚ	Th­îng y		8	0	0		0																																																																		
L­u Kim Gi¸p Y	0	100	78	60	15000	0	140	14;44						10	1	2		\image\item\cloth\¬–½ð¼×ÒÂa1.spr	\image\item\cloth\¬–½ð¼×ÒÂa0.spr	"¸o gi¸p lµm tõ t¬ L­u Kim, chÊt liÖu bÒn ch¾c, ngù néi gia ch©n khÝ."	¿ýÎàÄÐÉÏÒÂ8¼¶ÄÚ	Th­îng y		8	0	0		0																																																																		
Song §¹i Vò Th­êng.	0	100	79	60	15000	0	200	14;44						10	2	3		\image\item\cloth\Ë«÷ìÓðÉÑa1.spr	\image\item\cloth\Ë«÷ìÓðÉÑa0.spr	"Mµu ®en nh¹t, t«n vÎ ®Ñp khuynh thµnh."	ÐÔ¸ÐÅ®ÉÏÒÂ8¼¶ÄÚ	Th­îng y		8	0	0		0																																																																		
Phông Vò Nghª Sa	0	100	80	60	15000	0	175	14;44						10	2	4		\image\item\cloth\·ïÓðÄÞÉ´a1.spr	\image\item\cloth\·ïÓðÄÞÉ´a0.spr	"Lµm tõ t¬ Thiªn TÇm, phiªu bång kiªu sa."	½¿Ð¡Å®ÉÏÒÂ8¼¶ÄÚ	Th­îng y		8	0	0		0																																																																		
Tè Ng©n Bµo	0	100	81	60	20000	0	160	33;33						10	1	1		\image\item\cloth\ËØÒøÅÛa1.spr	\image\item\cloth\ËØÒøÅÛa0.spr	"Lµm tõ t¬ Tè Ng©n, ngù ch©n khÝ, gi¶m s¸t th­¬ng."	±ê×¼ÄÐÉÏÒÂ9¼¶	Th­îng y		9	0	0		0																																																																		
XÝch LuyÖn Gi¸p Y	0	100	82	60	20000	0	140	33;33						10	1	2		\image\item\cloth\³àÁ¶¼×ÒÂa1.spr	\image\item\cloth\³àÁ¶¼×ÒÂa0.spr	"§óc tõ m¸u cña XÝch LuyÖn Thôc Quû, phßng ngù tèt."	¿ýÎàÄÐÉÏÒÂ9¼¶	Th­îng y		9	0	0		0																																																																		
Ngäc Thoa Vò Y	0	100	83	60	20000	0	200	33;33						10	2	3		\image\item\cloth\ÓñËóÓðÒÂa1.spr	\image\item\cloth\ÓñËóÓðÒÂa0.spr	"¸o l«ng vò cña tiªn n÷, th­ít tha tho¸t tôc."	ÐÔ¸ÐÅ®ÉÏÒÂ9¼¶	Th­îng y		9	0	0		0																																																																		
§¹i Yªn Nghª Th­êng	0	100	84	60	20000	0	175	33;33						10	2	4		\image\item\cloth\÷ìÑÌÄÞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄÞÉÑa0.spr	Trang phôc mµu xanh ®en huyÒn bÝ.	½¿Ð¡Å®ÉÏÒÂ9¼¶	Th­îng y		9	0	0		0																																																																		
Thiªn §Þa HuyÒn Hoµng Gi¸p 	0	100	85	80	30000	0	250	35;35						10	1	1		\image\item\cloth\ÄÐ»Æ½ð¼×a1.spr	\image\item\cloth\ÄÐ»Æ½ð¼×a0.spr	"Gi¸p nµy biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« biªn"	±ê×¼ÄÐ»Æ½ð¼×	Th­îng y		9	0	1		0																																																																		
Thiªn §Þa HuyÒn Hoµng Gi¸p 	0	100	86	80	30000	0	250	35;35						10	1	2		\image\item\cloth\ÄÐ»Æ½ð¼×a1.spr	\image\item\cloth\ÄÐ»Æ½ð¼×a0.spr	"Gi¸p nµy biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« biªn"	¿ýÎàÄÐ»Æ½ð¼×	Th­îng y		9	0	1		0																																																																		
Thiªn §Þa HuyÒn Hoµng Gi¸p 	0	100	87	80	30000	0	250	35;35						10	2	3		\image\item\cloth\Å®»Æ½ð¼×a1.spr	\image\item\cloth\Å®»Æ½ð¼×a0.spr	"Gi¸p nµy biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« biªn"	ÐÔ¸ÐÅ®»Æ½ð¼×	Th­îng y		9	0	1		0																																																																		
Thiªn §Þa HuyÒn Hoµng Gi¸p 	0	100	88	80	30000	0	250	35;35						10	2	4		\image\item\cloth\Å®»Æ½ð¼×a1.spr	\image\item\cloth\Å®»Æ½ð¼×a0.spr	"Gi¸p nµy biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« biªn"	½¿Ð¡Å®»Æ½ð¼×	Th­îng y		9	0	1		0																																																																		
Thñy Háa phiÕn	0	200	1	30	25	0	1000							10				\image\item\cloth\tool_001a1.spr	\image\item\cloth\tool_001a0.spr	Dïng ®Ó qu¹t bÕp lß khi luyÖn ®¬n		C«ng cô		1	0	0		1																																																																		
§¬n ®Ønh	0	200	2	80	25	0	1000							10				\image\item\cloth\tool_002a1.spr	\image\item\cloth\tool_002a0.spr	Dïng ®Ó luyÖn ®¬n		C«ng cô		2	0	0		1																																																																		
¤ kim chïy	0	200	3	40	25	0	1000							10				\image\item\cloth\tool_003a1.spr	\image\item\cloth\tool_003a0.spr	Bóa cña c¸c thî rÌn		C«ng cô		1	0	0		1																																																																		
B¸ch LuyÖn Hµnh l­	0	200	4	60	25	0	1000							10				\image\item\cloth\tool_004a1.spr	\image\item\cloth\tool_004a0.spr	Lß ®Ó rÌn vò khÝ		C«ng cô		2	0	0		1																																																																		
L·nh NguyÖt tiÔn	0	200	5	40	25	0	1000							10				\image\item\cloth\tool_005a1.spr	\image\item\cloth\tool_005a0.spr	KÐo c¾t da thó cña c¸c thî may		C«ng cô		1	0	0		1																																																																		
V« Ng©n ch©m	0	200	6	20	25	0	1000							10				\image\item\cloth\tool_006a1.spr	\image\item\cloth\tool_006a0.spr	Lo¹i Kim chuyªn dïng ®Ó may ¸o gi¸p		C«ng cô		2	0	0		1																																																																		
Bµo §inh Th¸i ®ao	0	200	7	30	25	0	1000							10				\image\item\cloth\tool_007a1.spr	\image\item\cloth\tool_007a0.spr	Dïng ®Ó c¾t rau cñ		C«ng cô		1	0	0		1																																																																		
CÊm §ång B¨ng Gi¸m	0	200	8	50	25	0	1000							10				\image\item\cloth\tool_008a1.spr	\image\item\cloth\tool_008a0.spr	Lß ñ r­îu		C«ng cô		2	0	0		1																																																																		
Thiªn Hµo bót	0	200	9	30	25	0	1000							10				\image\item\cloth\tool_009a1.spr	\image\item\cloth\tool_009a0.spr	Lo¹i Bót  chuyªn dïng ®Ó viÕt lªn thÎ		C«ng cô		1	0	0		1																																																																		
Cuèc chim	0	200	11	2	25	0	180							10				\image\item\cloth\tool_011a1.spr	\image\item\cloth\tool_011a0.spr	"Dïng ®Ó ®µo kho¸ng, rÊt dÔ háng"		C«ng cô	\script\item\wukuang.lua	1	0	0		1																																																																		
ChÕ B× ®ao	0	200	12	2	25	0	180							10				\image\item\cloth\tool_012a1.spr	\image\item\cloth\tool_012a0.spr	Lo¹i dao nhá dïng ®Ó c¾t da thó rÊt dÔ háng		C«ng cô	\script\item\zhipi.lua	1	0	0		1																																																																		
Cuèc	0	200	13	2	25	0	180							10				\image\item\cloth\tool_013a1.spr	\image\item\cloth\tool_013a0.spr	"ChØ dïng ®Ó ®µo bíi th«ng th­êng, rÊt dÔ háng"		C«ng cô	\script\item\shougeng.lua	1	0	0		1																																																																		
ThiÕt phñ	0	200	14	2	25	0	180							10				\image\item\cloth\tool_014a1.spr	\image\item\cloth\tool_014a0.spr	"Dïng ®Ó chÆt c©y, ®èn gç. RÊt dÔ háng"		C«ng cô	\script\item\famu.lua	1	0	0		1																																																																		
Con thoi	0	200	15	2	25	0	180							10				\image\item\cloth\tool_015a1.spr	\image\item\cloth\tool_015a0.spr	"Lo¹i thoi th­êng dïng ®Ó dÖt v¶i, rÊt dÔ háng"		C«ng cô	\script\item\chousi.lua	1	0	0		1																																																																		
Cuèc thuèc	0	200	16	2	25	0	180							10				\image\item\cloth\tool_016a1.spr	\image\item\cloth\tool_016a0.spr	Lo¹i bõa nhá chuyªn dïng ®µo D­îc th¶o		C«ng cô	\script\item\wayao.lua	1	0	0		1																																																																		
Kim Cang c¶o	0	200	17	5	25	0	1800							10				\image\item\tools\tool_001a1.spr	\image\item\tools\tool_001a0.spr	Lo¹i cuèc cao cÊp chuyªn dïng ®Ó ®µo kho¸ng s¶n		C«ng cô	\script\item\wukuang.lua	2	0	0		1																																																																		
Thæ V­¬ng ®ao	0	200	18	5	25	0	1800							10				\image\item\tools\tool_002a1.spr	\image\item\tools\tool_002a0.spr	"Lo¹i dao chuyªn dïng ®Ó c¾t da thó, bÒn ch¾c"		C«ng cô	\script\item\zhipi.lua	2	0	0		1																																																																		
Cuèc HuyÒn Méc	0	200	19	5	25	0	2400							10				\image\item\tools\tool_003a1.spr	\image\item\tools\tool_003a0.spr	Lo¹i cuèc chuyªn dïng ®Ó ®µo kho¸ng s¶n		C«ng cô	\script\item\shougeng.lua	2	0	0		1																																																																		
LiÖt Háa phñ	0	200	20	5	25	0	1800							10				\image\item\tools\tool_004a1.spr	\image\item\tools\tool_004a0.spr	"Lo¹i r×u chuyªn ®Ó chÆt gç, bÒn ch¾c"		C«ng cô	\script\item\famu.lua	2	0	0		1																																																																		
Ngäc N÷ thoa	0	200	21	5	25	0	1800							10				\image\item\tools\tool_005a1.spr	\image\item\tools\tool_005a0.spr	"Lo¹i thoi b¹c, dÖt ®­îc nhiÒu v¶i trong ngµy"		C«ng cô	\script\item\chousi.lua	2	0	0		1																																																																		
Cuèc H¾c Thñy	0	200	22	5	25	0	3600							10				\image\item\tools\tool_006a1.spr	\image\item\tools\tool_006a0.spr	Lo¹i cuèc chuyªn dïng ®Ó ®µo D­îc th¶o		C«ng cô	\script\item\wayao.lua	2	0	0		1																																																																		
Cuèc Céng C«ng	0	200	23	1	25	0	9000							10				\image\item\tools\tool_007a1.spr	\image\item\tools\tool_007a0.spr	"Mét d¹ng cña cuèc chim, chuyªn dïng ®Ó ®µo kho¸ng, cùc kú bÒn ch¾c."		C«ng cô	\script\item\wukuang.lua	3	0	0		1																																																																		
L«i ThÇn ®ao	0	200	24	1	25	0	9000							10				\image\item\tools\tool_008a1.spr	\image\item\tools\tool_008a0.spr	"Lo¹i ®ao nhá s¾c bÐn, dïng ®Ó c¾t da thó"		C«ng cô	\script\item\zhipi.lua	3	0	0		1																																																																		
Cuèc Viªm §Õ	0	200	25	1	25	0	9000							10				\image\item\tools\tool_009a1.spr	\image\item\tools\tool_009a0.spr	"Dïng ®Ó khai kho¸ng, cùc kú bÒn ch¾c"		C«ng cô	\script\item\shougeng.lua	3	0	0		1																																																																		
Bµn Cæ phñ	0	200	26	1	25	0	9000							10				\image\item\tools\tool_010a1.spr	\image\item\tools\tool_010a0.spr	"Dïng ®Ó ®èn gç, cùc kú bÒn ch¾c"		C«ng cô	\script\item\famu.lua	3	0	0		1																																																																		
Chøc N÷ thoa	0	200	27	1	25	0	9000							10				\image\item\tools\tool_011a1.spr	\image\item\tools\tool_011a0.spr	"Dïng ®Ó dÖt v¶i, cùc kú bÒn ch¾c"		C«ng cô	\script\item\chousi.lua	3	0	0		1																																																																		
Cuèc ThÇn N«ng	0	200	28	1	25	0	9000							10				\image\item\tools\tool_012a1.spr	\image\item\tools\tool_012a0.spr	"Dïng ®Ó ®µo D­îc th¶o , cùc kú bÒn ch¾c."		C«ng cô	\script\item\wayao.lua	3	0	0		1																																																																		
Ph­¬ng sÜ khÝ	0	200	36	2	25	0	180							10				\image\item\tools\tool_013a1.spr	\image\item\tools\tool_013a0.spr	"Hép huyÕt sa dïng ®Ó vÏ phï, rÊt dÔ háng"		C«ng cô	\script\item\jiling.lua	1	0	0		1																																																																		
ThuËt sÜ khÝ	0	200	37	5	25	0	1800							10				\image\item\tools\tool_014a1.spr	\image\item\tools\tool_014a0.spr	"Hép linh khÝ huyÕt sa dïng ®Ó vÏ phï, rÊt khã háng"		C«ng cô	\script\item\jiling.lua	2	0	0		1																																																																		
Thiªn S­ KhÝ	0	200	38	1	25	0	9000							10				\image\item\tools\tool_015a1.spr	\image\item\tools\tool_015a0.spr	"Hép dông cô rÊt bÒn, cã thÓ dïng ®Ó chÕ linh huyÕt vµ chu sa"		C«ng cô	\script\item\jiling.lua	3	0	0		1																																																																		
ThÇn hµnh bÝ phæ	0	200	39	1	10	0	100							10				\image\item\other\coll_049a1.spr	\image\item\other\coll_049a0.spr	Cña ThÇn hµnh §íi T«ng truyÒn l¹i.<enter><color=Gold>(khi ®Õn khu vùc chiÕn ®Êu chØ ®Þnh sÏ mÊt chót ®é bÒn)		C«ng cô	\script\item\shenxingbaodian.lua	1	0	1		1																																																																		
ThÇn hµnh b¶o ®iÓn	0	200	40	1	20	0	1000							10				\image\item\book\book_074a1.spr	\image\item\book\book_074a0.spr	Ghi l¹i ThÇn Hµnh §¹i Ph¸p.<enter><color=Gold>(khi ®Õn khu vùc chiÕn ®Êu chØ ®Þnh sÏ mÊt chót ®é bÒn)		C«ng cô	\script\item\shenxingbaodian.lua	1	0	1		1																																																																		
Kú m«n phï	0	200	9996	1	20	0	100							10				\image\item\usable\fu_004a1.spr	\image\item\usable\fu_004a2.spr	"Th«ng qua mËt ®¹o, cã thÓ trùc tiÕp ®Õn chiÕn tr­êng. <enter><color=Gold> (ChØ cã thÓ trong chiÕn tr­êng, h¬n n÷a sö dông sau khi chiÕn tr­êng b¾t ®Çu, thêi gian chê lµ 1 phót)"		C«ng cô	\script\item\item_billing\qimenzhenfu.lua	1	0	1		1																																																																		
HiÖp ThiÕu bè y	0	109	1	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_001a1.spr	\image\item\cloth\man1_arm_001a0.spr	"Trang phôc th«ng th­êng, rÊt dÔ mua"	±ê×¼ÄÐÇû¸É001	§· khãa		1	2	1		0																																																																		
H¾c T¹o bè y	0	109	2	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	"§­îc may tõ lo¹i v¶i mÒm, nhÑ nh­ng rÊt bÒn ch¾c. C¸c thÝch kh¸ch th­êng sö dông."	±ê×¼ÄÐÇû¸É002	§· khãa		1	2	1		0																																																																		
Tö C©m Bè Y	0	109	3	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_003a1.spr	\image\item\cloth\man1_arm_003a0.spr	"§­îc may tõ lo¹i v¶i tõng ng©m trong dÇu c¸, mÒm m¹i, kh«ng thÊm n­íc."	±ê×¼ÄÐÇû¸É003	§· khãa		1	2	1		0																																																																		
Bµn Long Tó	0	109	4	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_004a1.spr	\image\item\cloth\man1_arm_004a0.spr	"BÒ ngoµi tr«ng ®¬n gi¶n nh­ng bªn trong cã Èn chøa linh lùc, phßng ngù cùc tèt."	±ê×¼ÄÐÇû¸É012	§· khãa		1	2	1		0																																																																		
Th­¬ng Lang y	0	109	5	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_005a1.spr	\image\item\cloth\man1_arm_005a0.spr	"Lo¹i gi¸p chØ che mét phÇn vai, c¸c cao thñ th­êng sö dông."	±ê×¼ÄÐÇû¸É004	§· khãa		1	2	1		0																																																																		
YÓm T©m gi¸p	0	109	6	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_006a1.spr	\image\item\cloth\man1_arm_006a0.spr	"§­îc lµm tõ da thó bªn ngoµi cã d¸t ®ång, phßng ngù cùc tèt."	±ê×¼ÄÐÇû¸É008	§· khãa		1	2	1		0																																																																		
ThÇn Hµnh phôc	0	109	7	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_007a1.spr	\image\item\cloth\man1_arm_007a0.spr	§­îc dÖt tõ T¬ t»m bÒn ch¾c v« song	±ê×¼ÄÐÇû¸É015	§· khãa		1	2	1		0																																																																		
Thanh S­¬ng bµo	0	109	8	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	"Èn ch­a phÐp thuËt ®¹o gia, cã thÓ chèng ®ì kiÕm khÝ cña c¸c cao thñ"	±ê×¼ÄÐÇû¸É010	§· khãa		1	2	1		0																																																																		
Tham Lang y	0	109	9	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_009a1.spr	\image\item\cloth\man1_arm_009a0.spr	"§­îc may tõ Da hæ, oai phong lÉm liÖt, ngµn vµng khã mua."	±ê×¼ÄÐÇû¸É005	§· khãa		1	2	1		0																																																																		
XÝch §ång trô	0	109	10	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_010a1.spr	\image\item\cloth\man1_arm_010a0.spr	"§­îc lµm tõ da thó bªn ngoµi cã d¸t ®ång, phßng ngù cùc tèt."	±ê×¼ÄÐÇû¸É007	§· khãa		1	2	1		0																																																																		
NhuyÔn Kim y	0	109	11	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_011a1.spr	\image\item\cloth\man1_arm_011a0.spr	"§­îc ®óc tõ kim lo¹i máng, bÒn nhÑ"	±ê×¼ÄÐÇû¸É016	§· khãa		1	2	1		0																																																																		
Th­¬ng  Lan y	0	109	12	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_012a1.spr	\image\item\cloth\man1_arm_012a0.spr	"DÖt tõ nhiÒu loµi t¶o d­îc, ng­êi mang c¶m gi¸c dÔ chÞu, t©m tÝnh «n hßa"	±ê×¼ÄÐÇû¸É013	§· khãa		1	2	1		0																																																																		
Lam K×nh b× gi¸p	0	109	13	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_013a1.spr	\image\item\cloth\man1_arm_013a0.spr	"§­îc lµm tõ da c¸ voi tr¬n bãng, phßng ngù cùc tèt"	±ê×¼ÄÐÇû¸É017	§· khãa		1	2	1		0																																																																		
XÝch Long bµo	0	109	14	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	"Kú tr©n dÞ b¶o, ngµn vµng khã mua"	±ê×¼ÄÐÇû¸É011	§· khãa		1	2	1		0																																																																		
Thiªn Lang y	0	109	15	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_015a1.spr	\image\item\cloth\man1_arm_015a0.spr	"§­îc lµm tõ Da hæ, bªn trong cã líp gi¸p s¾t kiÕm ®©m kh«ng thñng"	±ê×¼ÄÐÇû¸É006	§· khãa		1	2	1		0																																																																		
B¨ng Tµm Trï sam	0	109	16	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_016a1.spr	\image\item\cloth\man1_arm_016a0.spr	"§­îc dÖt tõ T¬ t»m, phßng ngù cao"	±ê×¼ÄÐÇû¸É014	§· khãa		1	2	1		0																																																																		
S¬n Quû huyÕt y	0	109	17	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Cã thÓ tr¸nh ®­îc tµ ma vµ biÕt tr­íc tai häa s¾p x¶y ra.	±ê×¼ÄÐÇû¸É018	§· khãa		1	2	1		0																																																																		
Thiªn Gi¸ng bµo	0	109	18	10	0	0	10							10	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	"§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn"	±ê×¼ÄÐÇû¸É009	§· khãa		1	2	1		0																																																																		
HiÖp ThiÕu y	0	109	19	10	0	0	10							10	1	2		\image\item\cloth\man2_arm_001a1.spr	\image\item\cloth\man2_arm_001a0.spr	"§­îc lµm tõ nguyªn liÖu ®¬n gi¶n, rÊt dÔ mua"	¿ýÎàÄÐÇû¸É004	§· khãa		1	2	1		0																																																																		
ThiÕt Hé Kiªn	0	109	20	10	0	0	10							10	1	2		\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	"§­îc lµm tõ thÐp tinh luyÖn, phßng ngù cùc tèt"	¿ýÎàÄÐÇû¸É001	§· khãa		1	2	1		0																																																																		
Thó Hé Kiªn	0	109	21	10	0	0	10							10	1	2		\image\item\cloth\man2_arm_003a1.spr	\image\item\cloth\man2_arm_003a0.spr	"M« pháng d¸ng h×nh thó Tr¹nh Nanh, ®èi ph­¬ng nh×n thÊy ®· khiÕp sî."	¿ýÎàÄÐÇû¸É002	§· khãa		1	2	1		0																																																																		
CÈm Ti C©n	0	109	22	10	0	0	10							10	1	2		\image\item\cloth\man2_arm_004a1.spr	\image\item\cloth\man2_arm_004a0.spr	"§­îc dÖt tõ gÊm mÒm m¹i, gi¶m s¸t th­¬ng  néi lùc."	¿ýÎàÄÐÇû¸É013	§· khãa		1	2	1		0																																																																		
Hµo HiÖp y	0	109	23	10	0	0	10							10	1	2		\image\item\cloth\man2_arm_005a1.spr	\image\item\cloth\man2_arm_005a0.spr	Trang phôc cña c¸c hiÖp kh¸ch trõ gian diÖt ®¹o	¿ýÎàÄÐÇû¸É010	§· khãa		1	2	1		0																																																																		
