Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
HuyÒn Vò	0	103	77	60	14000	0	200	14;30						10	1	1		\image\item\cap\ĞşÓğa1.spr	\image\item\cap\ĞşÓğa0.spr	"Lµm tõ l«ng vò ®en tuyÒn, ãng ¸nh méc m¹c. Chãp nhän mµ ®¸y s©u, dµy."	±ê×¼ÄĞÍ·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																		
Cöu Anh	0	103	78	60	14000	0	200	14;30						10	1	2		\image\item\cap\¾ÅÓ¤a1.spr	\image\item\cap\¾ÅÓ¤a0.spr	"Lµm tõ t¬ L­u Kim, rÊt bÒn ch¾c, chèng ®ì ®­îc s¸t th­¬ng néi gia."	¿ıÎàÄĞÍ·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																		
Yªn Hoa	0	103	79	60	14000	0	200	14;30						10	2	3		\image\item\cap\æÌ»¨a1.spr	\image\item\cap\æÌ»¨a0.spr	"C©y thoa h×nh d¸ng mét b«ng hoa xinh ®Ñp, rung rinh tr­íc giã, t«n thªm nĞt uyÓn ®iÖu thôc n÷."	ĞÔ¸ĞÅ®Í·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																		
Yªn Méng	0	103	80	60	14000	0	200	14;30						10	2	4		\image\item\cap\ÑÌÂÜa1.spr	\image\item\cap\ÑÌÂÜa0.spr	"Trang søc lµm b»ng t¬ Thiªn TÇm, ®Ñp tinh x¶o"	½¿Ğ¡Å®Í·²¿8¼¶ÄÚ	M·o		8	0	0		0																																																																		
Lôc Ly	0	103	81	60	20000	0	200	24;24						10	1	1		\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	"Vò qu¸n rùc rì h×nh chãp, lµ qu¸n KhuÊt Nguyªn dïng khi chu du giang hå, kh¸ng thñy, háa vµ kú ®éc."	±ê×¼ÄĞÍ·²¿9¼¶	M·o		9	0	0		0																																																																		
Thôc Quû	0	103	82	60	20000	0	200	24;24						10	1	2		\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	"LÊy m¸u cña quû Thôc §¹o kÕt víi tãc ®á, t¸c dông lµm ma quû khiÕp sî, kh¸ng khİ bÊt th­êng."	¿ıÎàÄĞÍ·²¿9¼¶	M·o		9	0	0		0																																																																		
Phó Vò	0	103	83	60	20000	0	200	24;24						10	2	3		\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	"Trang søc lµm tõ Dao Ngäc, cã ®İnh chuçi h¹t l­u ly, tr«ng rÊt th­ít tha."	ĞÔ¸ĞÅ®Í·²¿9¼¶	M·o		9	0	0		0																																																																		
¶m NguyÖt	0	103	84	60	20000	0	200	24;24						10	2	4		\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	"Trang søc lµm tõ gi¸ng sa, lung linh huyÒn ¶o."	½¿Ğ¡Å®Í·²¿9¼¶	M·o		9	0	0		0																																																																		
Thiªn §Şa HuyÒn Hoµng Kh«i	0	103	85	30	30000	0	200	26;26						10	1	1		\image\item\cap\ÄĞ»Æ½ğ¿øa1.spr	\image\item\cap\ÄĞ»Æ½ğ¿øa0.spr	"Thiªn ®Şa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n."	±ê×¼ÄĞ»Æ½ğ¿ø	M·o		9	0	1		0																																																																		
Thiªn §Şa HuyÒn Hoµng Kh«i	0	103	86	30	30000	0	200	26;26						10	1	2		\image\item\cap\ÄĞ»Æ½ğ¿øa1.spr	\image\item\cap\ÄĞ»Æ½ğ¿øa0.spr	"Thiªn ®Şa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n."	¿ıÎàÄĞ»Æ½ğ¿ø	M·o		9	0	1		0																																																																		
Thiªn §Şa HuyÒn Hoµng Kh«i	0	103	87	30	30000	0	200	26;26						10	2	3		\image\item\cap\Å®»Æ½ğ¿øa1.spr	\image\item\cap\Å®»Æ½ğ¿øa0.spr	"Thiªn ®Şa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n."	ĞÔ¸ĞÅ®»Æ½ğ¿ø	M·o		9	0	1		0																																																																		
Thiªn §Şa HuyÒn Hoµng Kh«i	0	103	88	30	30000	0	200	26;26						10	2	4		\image\item\cap\Å®»Æ½ğ¿øa1.spr	\image\item\cap\Å®»Æ½ğ¿øa0.spr	"Thiªn ®Şa HuyÒn Hoµng, vò trô hång hoang, v¹n vËt biÕn hãa, kh«i nµy còng biÕn hãa øng víi Thiªn §¹o, cã søc m¹nh v« h¹n."	½¿Ğ¡Å®»Æ½ğ¿ø	M·o		9	0	1		0																																																																		
ThiÕu HiÖp C©n	0	108	1	10	0	0	10							10	1	1		\image\item\cap\man1_cap_001a1.spr	\image\item\cap\man1_cap_001a0.spr	"Lo¹i kh¨n quÊn th«ng th­êng, rÊt dÔ mua"	±ê×¼ÄĞÍ·²¿001	§· khãa		1	2	1		0																																																																		
Phong Vò C©n	0	108	2	10	0	0	10							10	1	1		\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Anh hïng hiÖp kh¸ch th­êng sö dông. Quı ph¸i l¹ th­êng	±ê×¼ÄĞÍ·²¿002	§· khãa		1	2	1		0																																																																		
Anh Hïng C©n	0	108	3	10	0	0	10							10	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Ng­êi mang vµo nh­ ®­îc trî thªm khİ ph¸ch	±ê×¼ÄĞÍ·²¿003	§· khãa		1	2	1		0																																																																		
CÈm Bè c©n	0	108	4	10	0	0	10							10	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	"Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp"	±ê×¼ÄĞÍ·²¿012	§· khãa		1	2	1		0																																																																		
M·n NguyÖt L¹p	0	108	5	10	0	0	10							10	1	1		\image\item\cap\man1_cap_005a1.spr	\image\item\cap\man1_cap_005a0.spr	Dïng ®Ó ®i trong giã tuyÕt	±ê×¼ÄĞÍ·²¿004	§· khãa		1	2	1		0																																																																		
Kim Phong Qu¸n	0	108	6	10	0	0	10							10	1	1		\image\item\cap\man1_cap_006a1.spr	\image\item\cap\man1_cap_006a0.spr	ThuÇn ng©n chÕ thµnh. Kh¶m nhiÒu B¶o Th¹ch cùc quı.	±ê×¼ÄĞÍ·²¿008	§· khãa		1	2	1		0																																																																		
M«ng DiÖn C©n	0	108	7	10	0	0	10							10	1	1		\image\item\cap\man1_cap_007a1.spr	\image\item\cap\man1_cap_007a0.spr	Che nöa khu«n mÆt! C¸c hiÖp kh¸ch th­êng dïng khi hµnh hiÖp	±ê×¼ÄĞÍ·²¿015	§· khãa		1	2	1		0																																																																		
Hoa D­¬ng c©n	0	108	8	10	0	0	10							10	1	1		\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	"Lµm tõ t¬ b¨ng tµm ngµn n¨m, bÒn ch¾c v« song"	±ê×¼ÄĞÍ·²¿010	§· khãa		1	2	1		0																																																																		
ThiÕt TuyÕn L¹p	0	108	9	10	0	0	10							10	1	1		\image\item\cap\man1_cap_009a1.spr	\image\item\cap\man1_cap_009a0.spr	ChÕ tõ tinh thiÕt. Chèng ®­îc cung tªn rÊt hiÖu qu¶	±ê×¼ÄĞÍ·²¿005	§· khãa		1	2	1		0																																																																		
DËt Èn Qu¸n	0	108	10	10	0	0	10							10	1	1		\image\item\cap\man1_cap_010a1.spr	\image\item\cap\man1_cap_010a0.spr	Mïi h­¬ng xua ®uæi tÊt c¶ c¸c lo¹i ®éc trïng	±ê×¼ÄĞÍ·²¿007	§· khãa		1	2	1		0																																																																		
Hång L¨ng C©n	0	108	11	10	0	0	10							10	1	1		\image\item\cap\man1_cap_011a1.spr	\image\item\cap\man1_cap_011a0.spr	Mïi th¬m cña kh¨n lµm mÊt t¸c dông cña c¸c lo¹i mª h­¬ng d­îc.	±ê×¼ÄĞÍ·²¿016	§· khãa		1	2	1		0																																																																		
Hµng V©n Thóc ®¸i	0	108	12	10	0	0	10							10	1	1		\image\item\cap\man1_cap_012a1.spr	\image\item\cap\man1_cap_012a0.spr	Dïng ®Ó bói tãc tr­íc khi chiÕn ®Êu	±ê×¼ÄĞÍ·²¿013	§· khãa		1	2	1		0																																																																		
Thanh Sa Nh·n Tr¸o	0	108	13	10	0	0	10							10	1	1		\image\item\cap\man1_cap_013a1.spr	\image\item\cap\man1_cap_013a0.spr	B¶o vÖ cho m¾t. Thİch hîp chiÕn ®Êu	±ê×¼ÄĞÍ·²¿017	§· khãa		1	2	1		0																																																																		
Xİch Tinh Nh·n Tr¸o	0	108	14	10	0	0	10							10	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	§· khãa		1	2	1		0																																																																		
Phi V©n L¹p	0	108	15	10	0	0	10							10	1	1		\image\item\cap\man1_cap_015a1.spr	\image\item\cap\man1_cap_015a0.spr	KÕt b»ng tinh thiÕt. Phßng ngù cùc tèt	±ê×¼ÄĞÍ·²¿006	§· khãa		1	2	1		0																																																																		
TuyÖt B¶o Qu¸n	0	108	16	10	0	0	10							10	1	1		\image\item\cap\man1_cap_016a1.spr	\image\item\cap\man1_cap_016a0.spr	Kh¶m nhiÒu B¶o Th¹ch quı hiÕm. Gióp c¬ thÓ phôc håi sinh khİ	±ê×¼ÄĞÍ·²¿014	§· khãa		1	2	1		0																																																																		
S¬n Quû DiÖn	0	108	17	10	0	0	10							10	1	1		\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	MÒm dÎo nh­ng ch¾c ch¾n. Thİch hîp chiÕn ®Êu	±ê×¼ÄĞÍ·²¿018	§· khãa		1	2	1		0																																																																		
MËt ThÇn qu¸n	0	108	18	10	0	0	10							10	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	§éi vµo cã thÓ linh c¶m ®­îc ®iÒu hiÓm nguy s¾p x¶y ra	±ê×¼ÄĞÍ·²¿009	§· khãa		1	2	1		0																																																																		
HiÖp ThiÕu bè c©n	0	108	19	10	0	0	10							10	1	2		\image\item\cap\man2_cap_001a1.spr	\image\item\cap\man2_cap_001a0.spr	Dïng ®Ó bói tãc khi luyÖn v«ng	¿ıÎàÄĞÍ·²¿004	§· khãa		1	2	1		0																																																																		
H¾c CÈm bè c©n	0	108	20	10	0	0	10							10	1	2		\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	C¸c hiÖp kh¸ch th­êng mang khi hµnh hiÖp ®ªm tèi	¿ıÎàÄĞÍ·²¿001	§· khãa		1	2	1		0																																																																		
Ng­u B× ®Çu c©n	0	108	21	10	0	0	10							10	1	2		\image\item\cap\man2_cap_003a1.spr	\image\item\cap\man2_cap_003a0.spr	Võa ®Ñp võa duyªn d¸ng. C¸c v¨n nh©n rÊt thİch ®eo	¿ıÎàÄĞÍ·²¿002	§· khãa		1	2	1		0																																																																		
Kim §iÒu c©n	0	108	22	10	0	0	10							10	1	2		\image\item\cap\man2_cap_004a1.spr	\image\item\cap\man2_cap_004a0.spr	"Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp"	¿ıÎàÄĞÍ·²¿013	§· khãa		1	2	1		0																																																																		
Vò Th¾ng Sa M·o	0	108	23	10	0	0	10							10	1	2		\image\item\cap\man2_cap_005a1.spr	\image\item\cap\man2_cap_005a0.spr	"C¸c vâ s­ th­êng mang, phßng ngù rÊt tèt"	¿ıÎàÄĞÍ·²¿010	§· khãa		1	2	1		0																																																																		
Hoµng Trï Thóc c©n	0	108	24	10	0	0	10							10	1	2		\image\item\cap\man2_cap_002a1.spr	\image\item\cap\man2_cap_002a0.spr	Võa ®Ñp võa cã thÓ b¶o vÖ phÇn ®Çu	¿ıÎàÄĞÍ·²¿014	§· khãa		1	2	1		0																																																																		
ThÇn Méc c©n	0	108	25	10	0	0	10							10	1	2		\image\item\cap\man2_cap_007a1.spr	\image\item\cap\man2_cap_007a0.spr	KÕt tõ vá c©y cæ thô. Phßng ngù cùc tèt	¿ıÎàÄĞÍ·²¿011	§· khãa		1	2	1		0																																																																		
Nh­îc Thñy L¹p	0	108	26	10	0	0	10							10	1	2		\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Gän nhÑ nh­ng ch¾c ch¾n.	¿ıÎàÄĞÍ·²¿003	§· khãa		1	2	1		0																																																																		
Chu T­íc Thóc c©n	0	108	27	10	0	0	10							10	1	2		\image\item\cap\man2_cap_009a1.spr	\image\item\cap\man2_cap_009a0.spr	"C¸c v¨n nh©n th­êng ®eo, rÊt sang träng quı ph¸i"	¿ıÎàÄĞÍ·²¿015	§· khãa		1	2	1		0																																																																		
H¶i ThÇn kÕt	0	108	28	10	0	0	10							10	1	2		\image\item\cap\man2_cap_010a1.spr	\image\item\cap\man2_cap_010a0.spr	"Gièng h×nh ®Çu c¸, phßng ngù cùc tèt"	¿ıÎàÄĞÍ·²¿008	§· khãa		1	2	1		0																																																																		
§Şnh Quèc Tö C©n	0	108	29	10	0	0	10							10	1	2		\image\item\cap\man2_cap_011a1.spr	\image\item\cap\man2_cap_011a0.spr	"Hµo khİ xung thiªn, t¨ng thªm søc m¹nh chiÕn ®Êu"	¿ıÎàÄĞÍ·²¿012	§· khãa		1	2	1		0																																																																		
MËt NhÉn DiÖn tr¸o	0	108	30	10	0	0	10							10	1	2		\image\item\cap\man2_cap_012a1.spr	\image\item\cap\man2_cap_012a0.spr	C¸c thİch kh¸ch HuyÒn NhÉn gi¸o vïng Liªu §«ng th­êng mang	¿ıÎàÄĞÍ·²¿018	§· khãa		1	2	1		0																																																																		
ThÇn S¸ch Kim Kh«i	0	108	31	10	0	0	10							10	1	2		\image\item\cap\man2_cap_013a1.spr	\image\item\cap\man2_cap_013a0.spr	CÊm vÖ qu©n §­êng triÒu th­êng ®éi. T­îng tr­ng cho søc m¹nh v­¬ng quyÒn	¿ıÎàÄĞÍ·²¿005	§· khãa		1	2	1		0																																																																		
Ngò L«i kÕt	0	108	32	10	0	0	10							10	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	"Rò ra sau gièng nh­ tia sĞt, rÊt oai phong"	¿ıÎàÄĞÍ·²¿017	§· khãa		1	2	1		0																																																																		
Tinh Cang ChiÕn Kh«i	0	108	33	10	0	0	10							10	1	2		\image\item\cap\man2_cap_015a1.spr	\image\item\cap\man2_cap_015a0.spr	"Tinh thĞp ®óc thµnh, ®ao th­¬ng bÊt nhËp"	¿ıÎàÄĞÍ·²¿006	§· khãa		1	2	1		0																																																																		
Th¸nh Long kÕt	0	108	34	10	0	0	10							10	1	2		\image\item\cap\man2_cap_016a1.spr	\image\item\cap\man2_cap_016a0.spr	Gióp ng­êi ®eo linh c¶m ®­îc hiÓm nguy s¾p x¶y ra	¿ıÎàÄĞÍ·²¿009	§· khãa		1	2	1		0																																																																		
Chung Quú diÖn	0	108	35	10	0	0	10							10	1	2		\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	§eo vµo khiÕn quû thÇn còng ph¶i kinh sî	¿ıÎàÄĞÍ·²¿007	§· khãa		1	2	1		0																																																																		
DŞ ThÇn Kh«i	0	108	36	10	0	0	10							10	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	"Mang vµo sÏ t¨ng thªm linh lùc, cã thÓ kªu gäi quû thÇn"	¿ıÎàÄĞÍ·²¿016	§· khãa		1	2	1		0																																																																		
§µo Méc Tr©m	0	108	37	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_001a1.spr	\image\item\cap\fm1_cap_001a0.spr	"Lµm tõ ®µo méc, mang vµo sÏ khiÕn t©m tİnh hiÒn hßa"	ĞÔ¸ĞÅ®Í·²¿033	§· khãa		1	2	1		0																																																																		
Th¸i Méc Tr©m	0	108	38	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Mïi h­¬ng cã thÓ xua ®uæi c¸c lo¹i ®éc trïng	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		1	2	1		0																																																																		
Phßng Phong L¹p	0	108	39	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_003a1.spr	\image\item\cap\fm1_cap_003a0.spr	"Dïng ®Ó b¶o vÖ m¾t, cã thÓ ®i trong giã c¸t"	ĞÔ¸ĞÅ®Í·²¿021	§· khãa		1	2	1		0																																																																		
TŞ Thñy L¹p	0	108	40	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_004a1.spr	\image\item\cap\fm1_cap_004a0.spr	"Lo¹i v¶i kh«ng thÊm n­íc, cã thÓ ®i trong m­a giã"	ĞÔ¸ĞÅ®Í·²¿022	§· khãa		1	2	1		0																																																																		
Thanh §ång kÕt	0	108	41	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_005a1.spr	\image\item\cap\fm1_cap_005a0.spr	"H×nh d¸ng rÊt cæ x­a, lµm tõ ®ång thau"	ĞÔ¸ĞÅ®Í·²¿029	§· khãa		1	2	1		0																																																																		
San H« tr©m	0	108	42	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_006a1.spr	\image\item\cap\fm1_cap_006a0.spr	"Lµm tõ san h« ngµn n¨m, ngh×n vµng khã mua"	ĞÔ¸ĞÅ®Í·²¿034	§· khãa		1	2	1		0																																																																		
Bµn Th¹ch kÕt	0	108	43	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_007a1.spr	\image\item\cap\fm1_cap_007a0.spr	"Lµm tõ háa th¹ch, cã thÓ trõ hµn gi¶i ®éc"	ĞÔ¸ĞÅ®Í·²¿027	§· khãa		1	2	1		0																																																																		
Khæng T­íc Tr©m	0	108	44	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Kú tr©n dŞ b¶o. Cã thÓ phßng vµ gi¶i ®éc d­îc	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		1	2	1		0																																																																		
Chu T­íc Ph¸t KÕt	0	108	45	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_009a1.spr	\image\item\cap\fm1_cap_009a0.spr	"Lµm tõ x­¬ng ®¹i ®iªu, cã thÓ ®i xuyªn löa"	ĞÔ¸ĞÅ®Í·²¿027	§· khãa		1	2	1		0																																																																		
§»ng Xµ tr©m	0	108	46	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_010a1.spr	\image\item\cap\fm1_cap_010a0.spr	Lµm tõ x­¬ng m·ng xµ v­¬ng. Cã thÓ khèng chÕ d· thó	ĞÔ¸ĞÅ®Í·²¿025	§· khãa		1	2	1		0																																																																		
Minh §iÖp kÕt	0	108	47	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_011a1.spr	\image\item\cap\fm1_cap_011a0.spr	M« pháng theo h×nh 1 lo¹i b­ím kú dŞ vïng Miªu LÜnh	ĞÔ¸ĞÅ®Í·²¿031	§· khãa		1	2	1		0																																																																		
Kim Phông Tr©m	0	108	48	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_012a1.spr	\image\item\cap\fm1_cap_012a0.spr	"Lo¹i tr©m chøa Èn linh lùc, cã thÓ ®iÒu khiÓn ®­îc ¸c thó"	ĞÔ¸ĞÅ®Í·²¿023	§· khãa		1	2	1		0																																																																		
§Şa KiÖt	0	108	49	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_013a1.spr	\image\item\cap\fm1_cap_013a0.spr	Lo¹i m·o chØ dµnh cho c¸c n÷ t­íng	ĞÔ¸ĞÅ®Í·²¿034	§· khãa		1	2	1		0																																																																		
§o¹t hån	0	108	50	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_014a1.spr	\image\item\cap\fm1_cap_014a0.spr	"TÈm chÊt kŞch ®éc, c¸c s¸t thñ ­a dïng"	ĞÔ¸ĞÅ®Í·²¿024	§· khãa		1	2	1		0																																																																		
NhËt MiÖn	0	108	51	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_015a1.spr	\image\item\cap\fm1_cap_015a0.spr	Mét trong nh÷ng b¶o vËt do n÷ v­¬ng Oa quèc tiÕn cèng cho §­êng triÒu	ĞÔ¸ĞÅ®Í·²¿032	§· khãa		1	2	1		0																																																																		
ThÇn ¤	0	108	52	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_016a1.spr	\image\item\cap\fm1_cap_016a0.spr	Kh¾c tinh cña c¸c lo¹i ®éc d­îc	ĞÔ¸ĞÅ®Í·²¿030	§· khãa		1	2	1		0																																																																		
Tu La	0	108	53	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Cã thÓ dïng ®Ó chiªu gäi yªu hån	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		1	2	1		0																																																																		
Chu T­íc	0	108	54	10	0	0	10							10	2	3		\image\item\cap\fm1_cap_018a1.spr	\image\item\cap\fm1_cap_018a0.spr	Cã thÓ khiÕn m­a giã sÊm sĞt ph¶i dõng l¹i	ĞÔ¸ĞÅ®Í·²¿026	§· khãa		1	2	1		0																																																																		
§µo Méc thoa	0	108	55	10	0	0	10							10	2	4		\image\item\cap\fm2_cap_001a1.spr	\image\item\cap\fm2_cap_001a0.spr	Lo¹i tr©m dïng ®Ó thö c¸c lo¹i ®éc d­îc	½¿Ğ¡Å®Í·²¿003	§· khãa		1	2	1		0																																																																		
Th¸i V¨n Méc tr©m	0	108	56	10	0	0	10							10	2	4		\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Võa ®Ñp võa cã thÓ khö ®éc	½¿Ğ¡Å®Í·²¿005	§· khãa		1	2	1		0																																																																		
TrÇm Méc Thóc tr©m	0	108	57	10	0	0	10							10	2	4		\image\item\cap\fm2_cap_003a1.spr	\image\item\cap\fm2_cap_003a0.spr	Lµm tõ trÇm h­¬ng. Xa tr¨m b­íc vÉn nghe ®­îc mïi h­¬ng	½¿Ğ¡Å®Í·²¿008	§· khãa		1	2	1		0																																																																		
Ng©n Linh Tr©m	0	108	58	10	0	0	10							10	2	4		\image\item\cap\fm2_cap_004a1.spr	\image\item\cap\fm2_cap_004a0.spr	ThuÇn ng©n t¹o thµnh. Khi gÆp giã sÏ ph¸t ra tiÕng nh¹c du d­¬ng	½¿Ğ¡Å®Í·²¿004	§· khãa		1	2	1		0																																																																		
Quû DiÖn Thóc c©n	0	108	59	10	0	0	10							10	2	4		\image\item\cap\fm2_cap_005a1.spr	\image\item\cap\fm2_cap_005a0.spr	H×nh d¸ng nh­ mÆt quû khiÕn ng­êi nh¸t gan ph¶i tr¸nh xa	½¿Ğ¡Å®Í·²¿011	§· khãa		1	2	1		0																																																																		
Thanh Lam c©n	0	108	60	10	0	0	10							10	2	4		\image\item\cap\fm2_cap_006a1.spr	\image\item\cap\fm2_cap_006a0.spr	"KÕt tõ t¬ Thiªn tµm, ngh×n vµng khã mua"	½¿Ğ¡Å®Í·²¿001	§· khãa		1	2	1		0																																																																		
Lam §iÖp Thóc c©n	0	108	61	10	0	0	10							10	2	4		\image\item\cap\fm2_cap_007a1.spr	\image\item\cap\fm2_cap_007a0.spr	H×nh nh­ c¸nh b­ím. Gi¶i ®éc cùc kú h÷u hiÖu	½¿Ğ¡Å®Í·²¿010	§· khãa		1	2	1		0																																																																		
